round,global_acc,global_loss,n_selected_clients,selected_clients,round_time_s,cumulative_time_s
1,10.0,3.178843,10,"[81, 14, 3, 94, 35, 31, 28, 17, 13, 86]",21.46,21.46
2,10.0,3.227934,10,"[94, 69, 11, 75, 54, 4, 3, 27, 29, 64]",20.76,42.22
3,10.0,5.194776,10,"[77, 3, 71, 25, 91, 83, 89, 69, 53, 28]",21.94,64.16
4,10.09,4.352145,10,"[57, 75, 35, 0, 97, 20, 89, 54, 43, 19]",22.14,86.3
5,10.0,7.237512,10,"[27, 97, 43, 13, 11, 48, 12, 45, 44, 77]",22.39,108.7
6,10.0,4.022232,10,"[33, 5, 93, 58, 68, 15, 48, 10, 70, 37]",18.91,127.61
7,10.0,4.374276,10,"[80, 79, 46, 73, 24, 90, 8, 5, 84, 29]",6.09,133.7
8,11.03,5.027771,10,"[98, 37, 10, 29, 12, 48, 35, 58, 81, 46]",7.95,141.64
9,10.2,4.02983,10,"[20, 47, 45, 26, 85, 34, 89, 87, 82, 9]",8.92,150.56
10,10.0,4.765653,10,"[77, 81, 21, 68, 93, 31, 20, 59, 48, 34]",7.72,158.28
11,10.0,11.868528,10,"[81, 88, 71, 28, 87, 41, 98, 99, 7, 29]",7.57,165.85
12,10.0,8.741597,10,"[4, 40, 51, 34, 8, 27, 72, 91, 83, 63]",10.06,175.91
13,10.0,6.220153,10,"[50, 82, 58, 18, 33, 17, 31, 95, 71, 68]",20.21,196.12
14,10.04,3.716595,10,"[33, 95, 74, 54, 51, 46, 28, 17, 65, 63]",27.95,224.08
15,10.0,4.412762,10,"[11, 96, 6, 14, 19, 80, 20, 87, 54, 76]",26.21,250.29
16,10.0,4.869275,10,"[8, 49, 48, 76, 59, 67, 32, 70, 1, 87]",28.86,279.15
17,10.0,7.04152,10,"[92, 14, 87, 68, 96, 34, 98, 82, 43, 37]",26.45,305.6
18,10.02,3.090255,10,"[55, 20, 58, 0, 92, 33, 64, 97, 22, 13]",25.53,331.13
19,10.0,2.859098,10,"[80, 38, 81, 64, 77, 25, 19, 47, 97, 20]",20.15,351.28
20,10.0,4.799248,10,"[69, 99, 67, 0, 76, 41, 62, 2, 14, 46]",9.08,360.35
21,10.0,3.97241,10,"[39, 30, 7, 72, 10, 93, 62, 8, 97, 68]",13.68,374.04
22,10.0,3.317696,10,"[98, 16, 84, 60, 70, 21, 33, 67, 77, 54]",19.78,393.82
23,10.0,3.839149,10,"[27, 69, 96, 93, 88, 25, 91, 39, 51, 85]",14.67,408.48
24,10.0,3.288422,10,"[83, 47, 56, 66, 57, 15, 31, 28, 8, 43]",22.34,430.82
25,10.02,3.046157,10,"[2, 75, 70, 29, 28, 0, 9, 90, 80, 7]",18.77,449.59
26,10.0,5.177874,10,"[29, 8, 4, 42, 9, 65, 30, 35, 85, 62]",21.33,470.92
27,10.0,4.025286,10,"[27, 69, 16, 92, 73, 60, 31, 52, 24, 12]",17.33,488.25
28,10.0,5.514268,10,"[12, 84, 55, 45, 54, 52, 59, 93, 6, 86]",15.67,503.93
29,10.0,4.355526,10,"[83, 82, 12, 7, 51, 93, 43, 13, 31, 24]",22.1,526.03
30,10.0,5.384235,10,"[24, 68, 57, 17, 54, 23, 35, 59, 31, 9]",13.24,539.27
