round,global_acc,global_loss,n_selected_clients,selected_clients,round_time_s,cumulative_time_s
1,10.0,2.780947,10,"[81, 14, 3, 94, 35, 31, 28, 17, 13, 86]",7.77,7.77
2,10.0,4.441747,10,"[94, 69, 11, 75, 54, 4, 3, 27, 29, 64]",8.13,15.9
3,10.0,6.087771,10,"[77, 3, 71, 25, 91, 83, 89, 69, 53, 28]",7.66,23.55
4,10.0,6.974003,10,"[57, 75, 35, 0, 97, 20, 89, 54, 43, 19]",7.8,31.35
5,10.0,7.500866,10,"[27, 97, 43, 13, 11, 48, 12, 45, 44, 77]",7.57,38.92
6,10.0,7.345447,10,"[33, 5, 93, 58, 68, 15, 48, 10, 70, 37]",8.36,47.28
7,10.0,7.932702,10,"[80, 79, 46, 73, 24, 90, 8, 5, 84, 29]",7.67,54.95
8,10.0,7.953153,10,"[98, 37, 10, 29, 12, 48, 35, 58, 81, 46]",8.14,63.09
9,10.01,7.760686,10,"[20, 47, 45, 26, 85, 34, 89, 87, 82, 9]",7.93,71.02
10,10.07,7.531054,10,"[77, 81, 21, 68, 93, 31, 20, 59, 48, 34]",7.84,78.86
11,10.07,7.751673,10,"[81, 88, 71, 28, 87, 41, 98, 99, 7, 29]",8.18,87.04
12,11.15,8.242311,10,"[4, 40, 51, 34, 8, 27, 72, 91, 83, 63]",16.95,103.99
13,9.99,8.432669,10,"[50, 82, 58, 18, 33, 17, 31, 95, 71, 68]",18.8,122.79
14,11.54,8.594272,10,"[33, 95, 74, 54, 51, 46, 28, 17, 65, 63]",19.44,142.23
15,10.74,8.973246,10,"[11, 96, 6, 14, 19, 80, 20, 87, 54, 76]",18.99,161.22
16,10.89,8.909407,10,"[8, 49, 48, 76, 59, 67, 32, 70, 1, 87]",19.48,180.69
17,11.31,8.853918,10,"[92, 14, 87, 68, 96, 34, 98, 82, 43, 37]",19.89,200.58
18,12.68,9.51195,10,"[55, 20, 58, 0, 92, 33, 64, 97, 22, 13]",18.88,219.47
19,9.95,9.660289,10,"[80, 38, 81, 64, 77, 25, 19, 47, 97, 20]",18.51,237.97
20,9.99,9.044349,10,"[69, 99, 67, 0, 76, 41, 62, 2, 14, 46]",18.58,256.56
21,12.99,9.720929,10,"[39, 30, 7, 72, 10, 93, 62, 8, 97, 68]",19.63,276.18
22,9.98,8.993479,10,"[98, 16, 84, 60, 70, 21, 33, 67, 77, 54]",19.64,295.83
23,10.21,7.938487,10,"[27, 69, 96, 93, 88, 25, 91, 39, 51, 85]",18.87,314.7
24,10.0,7.964869,10,"[83, 47, 56, 66, 57, 15, 31, 28, 8, 43]",19.43,334.13
25,10.0,6.898099,10,"[2, 75, 70, 29, 28, 0, 9, 90, 80, 7]",19.31,353.44
26,9.97,6.393251,10,"[29, 8, 4, 42, 9, 65, 30, 35, 85, 62]",19.56,373.0
27,10.0,6.650247,10,"[27, 69, 16, 92, 73, 60, 31, 52, 24, 12]",19.63,392.63
28,10.0,6.944066,10,"[12, 84, 55, 45, 54, 52, 59, 93, 6, 86]",19.14,411.78
29,10.0,6.498998,10,"[83, 82, 12, 7, 51, 93, 43, 13, 31, 24]",19.36,431.14
30,10.0,6.795903,10,"[24, 68, 57, 17, 54, 23, 35, 59, 31, 9]",7.92,439.06
