round,global_acc,global_loss,n_selected_clients,selected_clients,round_time_s,cumulative_time_s
1,10.0,4.688515,10,"[81, 14, 3, 94, 35, 31, 28, 17, 13, 86]",8.42,8.42
2,10.0,4.355428,10,"[94, 69, 11, 75, 54, 4, 3, 27, 29, 64]",8.91,17.33
3,10.03,6.636409,10,"[77, 3, 71, 25, 91, 83, 89, 69, 53, 28]",9.67,27.0
4,10.0,6.54663,10,"[57, 75, 35, 0, 97, 20, 89, 54, 43, 19]",14.8,41.79
5,10.0,8.182782,10,"[27, 97, 43, 13, 11, 48, 12, 45, 44, 77]",22.68,64.47
6,10.0,4.655366,10,"[33, 5, 93, 58, 68, 15, 48, 10, 70, 37]",22.68,87.16
7,10.0,4.549871,10,"[80, 79, 46, 73, 24, 90, 8, 5, 84, 29]",17.13,104.28
8,14.03,5.130559,10,"[98, 37, 10, 29, 12, 48, 35, 58, 81, 46]",17.05,121.34
9,10.0,5.670962,10,"[20, 47, 45, 26, 85, 34, 89, 87, 82, 9]",23.99,145.33
10,10.79,4.489851,10,"[77, 81, 21, 68, 93, 31, 20, 59, 48, 34]",20.2,165.53
11,10.0,5.714422,10,"[81, 88, 71, 28, 87, 41, 98, 99, 7, 29]",15.88,181.41
12,10.0,6.642205,10,"[4, 40, 51, 34, 8, 27, 72, 91, 83, 63]",21.42,202.82
13,10.0,13.265175,10,"[50, 82, 58, 18, 33, 17, 31, 95, 71, 68]",19.46,222.28
14,10.0,8.410781,10,"[33, 95, 74, 54, 51, 46, 28, 17, 65, 63]",26.7,248.99
15,9.28,3.799803,10,"[11, 96, 6, 14, 19, 80, 20, 87, 54, 76]",24.73,273.71
16,10.25,4.801071,10,"[8, 49, 48, 76, 59, 67, 32, 70, 1, 87]",26.71,300.42
17,10.0,5.421935,10,"[92, 14, 87, 68, 96, 34, 98, 82, 43, 37]",26.7,327.12
18,13.45,3.580347,10,"[55, 20, 58, 0, 92, 33, 64, 97, 22, 13]",25.64,352.76
19,10.0,3.488561,10,"[80, 38, 81, 64, 77, 25, 19, 47, 97, 20]",17.8,370.56
20,10.0,3.515311,10,"[69, 99, 67, 0, 76, 41, 62, 2, 14, 46]",20.62,391.18
21,10.01,3.223487,10,"[39, 30, 7, 72, 10, 93, 62, 8, 97, 68]",13.61,404.79
22,10.0,5.781094,10,"[98, 16, 84, 60, 70, 21, 33, 67, 77, 54]",18.64,423.44
23,10.0,4.270149,10,"[27, 69, 96, 93, 88, 25, 91, 39, 51, 85]",15.81,439.25
24,10.0,3.614719,10,"[83, 47, 56, 66, 57, 15, 31, 28, 8, 43]",25.18,464.43
25,10.0,8.757698,10,"[2, 75, 70, 29, 28, 0, 9, 90, 80, 7]",17.24,481.66
26,10.05,4.037249,10,"[29, 8, 4, 42, 9, 65, 30, 35, 85, 62]",19.16,500.83
27,10.0,4.35121,10,"[27, 69, 16, 92, 73, 60, 31, 52, 24, 12]",16.25,517.07
28,12.06,4.124297,10,"[12, 84, 55, 45, 54, 52, 59, 93, 6, 86]",14.33,531.4
29,12.33,2.816478,10,"[83, 82, 12, 7, 51, 93, 43, 13, 31, 24]",20.87,552.28
30,9.88,4.50632,10,"[24, 68, 57, 17, 54, 23, 35, 59, 31, 9]",13.6,565.88
